tipo,nroproctab,codconv,nome,especialidade,simbolo,preco,candidatos_brana_por_nome,candidatos_brana_por_codigo,candidatos_por_similaridade,posicao_relativa,motivo_bloqueio,id,codigo,candidatos_easy_dental
easy,59,5190,Restauração de Amálgama - 3 faces,,,,[],[],"[{'codigo': 5190, 'id': 40615, 'nome': 'Restaura\x87Æo de Am lgama - 3 faces', 'score': 0.9032}, {'codigo': 5180, 'id': 40614, 'nome': 'Restaura\x87Æo de Am lgama - 2 faces', 'score': 0.871}, {'codigo': 5170, 'id': 40613, 'nome': 'Restaura\x87Æo de Am lgama - 1 face', 'score': 0.8525}]",,sem_candidato_semantico_confiavel,,,
easy,60,5200,Restauração de ionômero de vidro - classe V,,,,[],[],"[{'codigo': 5250, 'id': 40621, 'nome': 'Restaura\x87Æo em Resina Direta - (Classe V)', 'score': 0.6667}, {'codigo': 5240, 'id': 40620, 'nome': 'Restaura\x87Æo em Resina Direta - (Classe IV)', 'score': 0.6582}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.5526}]",,sem_candidato_semantico_confiavel,,,
easy,61,5210,Restauração em Resina Direta - (1 Face),,,,[],[],"[{'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.9429}, {'codigo': 5220, 'id': 40618, 'nome': 'Restaura\x87Æo em Resina Direta - (2 Faces)', 'score': 0.9014}, {'codigo': 5230, 'id': 40619, 'nome': 'Restaura\x87Æo em Resina Direta - (3 Faces)', 'score': 0.9014}]",,sem_candidato_semantico_confiavel,,,
easy,62,5220,Restauração em Resina Direta - (2 Faces),,,,[],[],"[{'codigo': 5220, 'id': 40618, 'nome': 'Restaura\x87Æo em Resina Direta - (2 Faces)', 'score': 0.9444}, {'codigo': 5230, 'id': 40619, 'nome': 'Restaura\x87Æo em Resina Direta - (3 Faces)', 'score': 0.9167}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.9014}]",,sem_candidato_semantico_confiavel,,,
easy,63,5230,Restauração em Resina Direta - (3 Faces),,,,[],[],"[{'codigo': 5230, 'id': 40619, 'nome': 'Restaura\x87Æo em Resina Direta - (3 Faces)', 'score': 0.9444}, {'codigo': 5220, 'id': 40618, 'nome': 'Restaura\x87Æo em Resina Direta - (2 Faces)', 'score': 0.9167}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.9014}]",,sem_candidato_semantico_confiavel,,,
easy,64,5240,Restauração em Resina Direta - (Classe IV),,,,[],[],"[{'codigo': 5240, 'id': 40620, 'nome': 'Restaura\x87Æo em Resina Direta - (Classe IV)', 'score': 0.9474}, {'codigo': 5250, 'id': 40621, 'nome': 'Restaura\x87Æo em Resina Direta - (Classe V)', 'score': 0.9333}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.7945}]",,sem_candidato_semantico_confiavel,,,
easy,65,5250,Restauração em Resina Direta - (Classe V),,,,[],[],"[{'codigo': 5250, 'id': 40621, 'nome': 'Restaura\x87Æo em Resina Direta - (Classe V)', 'score': 0.9459}, {'codigo': 5240, 'id': 40620, 'nome': 'Restaura\x87Æo em Resina Direta - (Classe IV)', 'score': 0.9333}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.8056}]",,sem_candidato_semantico_confiavel,,,
easy,66,5260,Restauração temporária (IRM ou similar),,,,[],[],"[{'codigo': 5260, 'id': 40622, 'nome': 'Restaura\x87Æo tempor ria (IRM ou similar)', 'score': 0.9189}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.5833}, {'codigo': 5220, 'id': 40618, 'nome': 'Restaura\x87Æo em Resina Direta - (2 Faces)', 'score': 0.5753}]",,sem_candidato_semantico_confiavel,,,
easy,67,5270,Tratamento Expectante com H. Cálcio,,,,[],[],"[{'codigo': 5270, 'id': 40623, 'nome': 'Tratamento Expectante com H. C lcio', 'score': 0.9706}, {'codigo': 4220, 'id': 40646, 'nome': 'Tratamento de Canal - (Incisivos)', 'score': 0.5714}, {'codigo': 4230, 'id': 40647, 'nome': 'Tratamento de Canal - (Molares com mais de 3 condutos)', 'score': 0.5714}]",,sem_candidato_semantico_confiavel,,,
easy,69,4010,Apicectomia em Incisivos com obturação retrógrada,,,,[],[],"[{'codigo': 4010, 'id': 40625, 'nome': 'Apicectomia em Incisivos com obtura\x87Æo retr¢grada', 'score': 0.9388}, {'codigo': 4040, 'id': 40628, 'nome': 'Apicectomia em Molares com obtura\x87Æo retr¢grada', 'score': 0.8125}, {'codigo': 4070, 'id': 40631, 'nome': 'Apicectomia em Pr\x82-molares com obtura\x87Æo retr¢grada', 'score': 0.78}]",,sem_candidato_semantico_confiavel,,,
easy,72,4040,Apicectomia em Molares com obturação retrógrada,,,,[],[],"[{'codigo': 4040, 'id': 40628, 'nome': 'Apicectomia em Molares com obtura\x87Æo retr¢grada', 'score': 0.9362}, {'codigo': 4070, 'id': 40631, 'nome': 'Apicectomia em Pr\x82-molares com obtura\x87Æo retr¢grada', 'score': 0.898}, {'codigo': 4010, 'id': 40625, 'nome': 'Apicectomia em Incisivos com obtura\x87Æo retr¢grada', 'score': 0.8125}]",,sem_candidato_semantico_confiavel,,,
easy,74,4060,Apicectomia em Pré-molares com enxerto leofilizado,,,,[],[],"[{'codigo': 4060, 'id': 40630, 'nome': 'Apicectomia em Pr\x82-molares com enxerto leofilizado', 'score': 0.98}, {'codigo': 4030, 'id': 40627, 'nome': 'Apicectomia em Molares com enxerto leofilizado', 'score': 0.9583}, {'codigo': 4000, 'id': 40624, 'nome': 'Apicectomia em Incisivos com enxerto leofilizado', 'score': 0.8367}]",,sem_candidato_semantico_confiavel,,,
easy,75,4070,Apicectomia em Pré-molares com obturação retrógrada,,,,[],[],"[{'codigo': 4070, 'id': 40631, 'nome': 'Apicectomia em Pr\x82-molares com obtura\x87Æo retr¢grada', 'score': 0.9216}, {'codigo': 4040, 'id': 40628, 'nome': 'Apicectomia em Molares com obtura\x87Æo retr¢grada', 'score': 0.898}, {'codigo': 4010, 'id': 40625, 'nome': 'Apicectomia em Incisivos com obtura\x87Æo retr¢grada', 'score': 0.78}]",,sem_candidato_semantico_confiavel,,,
easy,76,4080,Apicectomia em Pré-molares curetagem apical,,,,[],[],"[{'codigo': 4080, 'id': 40632, 'nome': 'Apicectomia em Pr\x82-molares curetagem apical', 'score': 0.9767}, {'codigo': 4050, 'id': 40629, 'nome': 'Apicectomia em Molares curetagem apical', 'score': 0.9512}, {'codigo': 4020, 'id': 40626, 'nome': 'Apicectomia em Incisivos curetagem apical', 'score': 0.8095}]",,sem_candidato_semantico_confiavel,,,
easy,78,4100,Desobturação de canal,,,,[],[],"[{'codigo': 4100, 'id': 40634, 'nome': 'Desobtura\x87Æo de canal', 'score': 0.9048}, {'codigo': 4180, 'id': 40642, 'nome': 'Retratamento de Canal - (Molares)', 'score': 0.56}, {'codigo': 5000, 'id': 40595, 'nome': 'Adequa\x87Æo de meio bucal', 'score': 0.5455}]",,sem_candidato_semantico_confiavel,,,
easy,79,4110,Preparo para Núcleo intra-radicular,,,,[],[],"[{'codigo': 4110, 'id': 40635, 'nome': 'Preparo para N£cleo intra-radicular', 'score': 0.9714}, {'codigo': 4150, 'id': 40639, 'nome': 'Remo\x87Æo de n£cleo intraradicular', 'score': 0.7463}, {'codigo': 300, 'id': 40855, 'nome': 'Placa de expansÆo para mordida cruzada', 'score': 0.5205}]",,sem_candidato_semantico_confiavel,,,
easy,81,4130,Reimplante dentes avuls. trauma + ap. contenção,,,,[],[],"[{'codigo': 4130, 'id': 40637, 'nome': 'Reimplante dentes avuls. trauma + ap. conten\x87Æo', 'score': 0.9556}, {'codigo': 7021, 'id': 40671, 'nome': 'Implante ¢sseo integr vel - H. Interno', 'score': 0.575}, {'codigo': 7022, 'id': 40670, 'nome': 'Implante ¢sseo integr vel - Cone Morse', 'score': 0.5432}]",,sem_candidato_semantico_confiavel,,,
easy,82,4140,Remoção de Coroal Total,,,,[],[],"[{'codigo': 4140, 'id': 40638, 'nome': 'Remo\x87Æo de Coroal Total', 'score': 0.913}, {'codigo': 2000, 'id': 40652, 'nome': 'Cimenta\x87Æo de Coroa Total Definitiva', 'score': 0.5763}, {'codigo': 2010, 'id': 40653, 'nome': 'Cimenta\x87Æo de Coroa Total Provis¢ria', 'score': 0.5763}]",,sem_candidato_semantico_confiavel,,,
easy,83,4150,Remoção de núcleo intraradicular,,,,[],[],"[{'codigo': 4150, 'id': 40639, 'nome': 'Remo\x87Æo de n£cleo intraradicular', 'score': 0.9062}, {'codigo': 4110, 'id': 40635, 'nome': 'Preparo para N£cleo intra-radicular', 'score': 0.7463}, {'codigo': 4140, 'id': 40638, 'nome': 'Remo\x87Æo de Coroal Total', 'score': 0.5455}]",,sem_candidato_semantico_confiavel,,,
easy,87,4190,Retratamento de Canal - (Pré-molares),,,,[],[],"[{'codigo': 4190, 'id': 40643, 'nome': 'Retratamento de Canal - (Pr\x82-molares)', 'score': 0.9697}, {'codigo': 4250, 'id': 40649, 'nome': 'Tratamento de Canal - (Pr\x82-molares)', 'score': 0.9375}, {'codigo': 4180, 'id': 40642, 'nome': 'Retratamento de Canal - (Molares)', 'score': 0.9355}]",,sem_candidato_semantico_confiavel,,,
easy,88,4200,Tratamento cirurgico de lesão endo-perio - (Curetagem),,,,[],[],"[{'codigo': 4200, 'id': 40644, 'nome': 'Tratamento cirurgico de lesÆo endo-perio - (Curetagem)', 'score': 0.98}, {'codigo': 4210, 'id': 40645, 'nome': 'Tratamento cirurgico de lesÆo endo-perio com enxerto leofilizado', 'score': 0.7719}, {'codigo': 6370, 'id': 40594, 'nome': 'Tratamento cir£rgico do l bio leporino', 'score': 0.6364}]",,sem_candidato_semantico_confiavel,,,
easy,89,4210,Tratamento cirurgico de lesão endo-perio com enxerto leofilizado,,,,[],[],"[{'codigo': 4210, 'id': 40645, 'nome': 'Tratamento cirurgico de lesÆo endo-perio com enxerto leofilizado', 'score': 0.9844}, {'codigo': 4200, 'id': 40644, 'nome': 'Tratamento cirurgico de lesÆo endo-perio - (Curetagem)', 'score': 0.7368}, {'codigo': 6370, 'id': 40594, 'nome': 'Tratamento cir£rgico do l bio leporino', 'score': 0.6275}]",,sem_candidato_semantico_confiavel,,,
easy,93,4250,Tratamento de Canal - (Pré-molares),,,,[],[],"[{'codigo': 4250, 'id': 40649, 'nome': 'Tratamento de Canal - (Pr\x82-molares)', 'score': 0.9677}, {'codigo': 4190, 'id': 40643, 'nome': 'Retratamento de Canal - (Pr\x82-molares)', 'score': 0.9375}, {'codigo': 4240, 'id': 40648, 'nome': 'Tratamento de Canal - (Molares)', 'score': 0.931}]",,sem_candidato_semantico_confiavel,,,
easy,94,4260,Tratamento de dentes c/ rizogenese incompleta - (Por sessão),,,,[],[],"[{'codigo': 4260, 'id': 40650, 'nome': 'Tratamento de dentes c/ rizogenese incompleta - (Por sessÆo)', 'score': 0.9818}, {'codigo': 4230, 'id': 40647, 'nome': 'Tratamento de Canal - (Molares com mais de 3 condutos)', 'score': 0.5524}, {'codigo': 4170, 'id': 40641, 'nome': 'Retratamento de Canal - (Molares com 4 ou mais condutos)', 'score': 0.5234}]",,sem_candidato_semantico_confiavel,,,
easy,95,4270,Tratamento de Trepanações / Perfurações,,,,[],[],"[{'codigo': 4270, 'id': 40651, 'nome': 'Tratamento de Trepana\x87äes / Perfura\x87äes', 'score': 0.8919}, {'codigo': 4240, 'id': 40648, 'nome': 'Tratamento de Canal - (Molares)', 'score': 0.5938}, {'codigo': 4180, 'id': 40642, 'nome': 'Retratamento de Canal - (Molares)', 'score': 0.5758}]",,sem_candidato_semantico_confiavel,,,
easy,96,2000,Cimentação de Coroa Total Definitiva,,,,[],[],"[{'codigo': 2000, 'id': 40652, 'nome': 'Cimenta\x87Æo de Coroa Total Definitiva', 'score': 0.9444}, {'codigo': 2010, 'id': 40653, 'nome': 'Cimenta\x87Æo de Coroa Total Provis¢ria', 'score': 0.75}, {'codigo': 3070, 'id': 40681, 'nome': 'Aumento de Coroa Cl¡nica - (Plastia)', 'score': 0.6176}]",,sem_candidato_semantico_confiavel,,,
