acao_futura_bloqueada,campos_atuais,campos_preservados,campos_propostos,codconv_easy,codigo_brana_atual,divergencias,id_brana,justificativa,metodo_match,nivel_confianca,nome_brana_atual,nome_easy,nroproctab_easy,status
apply,"{'codigo': 252, 'especialidade': '07', 'nome': 'Blinler - A', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Blinler - A'},,252,[],40807,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Blinler - A,Blinler - A,252,apto
apply,"{'codigo': 253, 'especialidade': '07', 'nome': 'Blinler - B', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Blinler - B'},,253,[],40808,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Blinler - B,Blinler - B,253,apto
apply,"{'codigo': 254, 'especialidade': '07', 'nome': 'Blinler - C', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Blinler - C'},,254,[],40809,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Blinler - C,Blinler - C,254,apto
apply,"{'codigo': 256, 'especialidade': '07', 'nome': 'Bracket (Bracket 0,18"" x 0,25"")', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']","{'nome': 'Bracket (Bracket 0,18"" x 0,25"")'}",,256,[],40811,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,"Bracket (Bracket 0,18"" x 0,25"")","Bracket (Bracket 0,18"" x 0,25"")",256,apto
apply,"{'codigo': 257, 'especialidade': '07', 'nome': 'Bracket (Bracket 0,18"" x 0,30"")', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']","{'nome': 'Bracket (Bracket 0,18"" x 0,30"")'}",,257,[],40812,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,"Bracket (Bracket 0,18"" x 0,30"")","Bracket (Bracket 0,18"" x 0,30"")",257,apto
apply,"{'codigo': 258, 'especialidade': '07', 'nome': 'Bracket (Bracket 0,22"" x 0,28"")', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']","{'nome': 'Bracket (Bracket 0,22"" x 0,28"")'}",,258,[],40813,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,"Bracket (Bracket 0,22"" x 0,28"")","Bracket (Bracket 0,22"" x 0,28"")",258,apto
apply,"{'codigo': 259, 'especialidade': '07', 'nome': 'Bracket (Bracket Straight-Wire)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bracket (Bracket Straight-Wire)'},,259,[],40814,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bracket (Bracket Straight-Wire),Bracket (Bracket Straight-Wire),259,apto
apply,"{'codigo': 262, 'especialidade': '07', 'nome': 'Disjuntor de Hass', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Disjuntor de Hass'},,262,[],40817,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Disjuntor de Hass,Disjuntor de Hass,262,apto
apply,"{'codigo': 263, 'especialidade': '07', 'nome': 'Disjuntor de Hirax', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Disjuntor de Hirax'},,263,[],40818,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Disjuntor de Hirax,Disjuntor de Hirax,263,apto
apply,"{'codigo': 264, 'especialidade': '07', 'nome': 'Disjuntor Hirax RC', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Disjuntor Hirax RC'},,264,[],40819,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Disjuntor Hirax RC,Disjuntor Hirax RC,264,apto
