easy_nroproctab,easy_codconv,easy_descricao,brana_id_candidato,brana_codigo_candidato,brana_nome_candidato,metodo_correspondencia,nivel_confianca,divergencias,ambiguidade,acao_futura_permitida,acao_futura_bloqueada,justificativa
40,5010,Ajuste oclusal - (por sessão),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
41,5020,Capeamento pulpar,40597,5020,Capeamento pulpar,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
42,5030,Clareamento - (Caseiro),40598,5030,Clareamento - (Caseiro),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
43,5040,Clareamento - (Laser),40599,5040,Clareamento - (Laser),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
44,5050,Clareamento interno - (dentes desvitalizados),40600,5050,Clareamento interno - (dentes desvitalizados),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
45,5060,Dessensibilização dentária - (por elemento),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
46,5070,Faceta em resina direta - (Dentes anteriores),40602,5070,Faceta em resina direta - (Dentes anteriores),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
47,5080,Imobilização dentária com resina fotopolimerizável,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
48,5090,Imobilização dentária (esplintagem),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
49,5121,Núcleo de preenchimento,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
50,5100,Núcleo de preenchimento em ionômetro de vidro,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
51,5110,Núcleo de preenchimento em resina,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
52,5120,Núcleo fibra de vidro,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
53,5130,Núcleo metálico pré-fabricado,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
54,5140,Núcleo rosqueavel - (Roach),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
55,5150,Polimento e Acabamento,40611,5150,Polimento e Acabamento,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
56,5160,Reconstrução em Resina Direta - (+ de 3 Faces),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
57,5170,Restauração de Amálgama - 1 face,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
58,5180,Restauração de Amálgama - 2 faces,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
59,5190,Restauração de Amálgama - 3 faces,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
60,5200,Restauração de ionômero de vidro - classe V,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
61,5210,Restauração em Resina Direta - (1 Face),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
62,5220,Restauração em Resina Direta - (2 Faces),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
63,5230,Restauração em Resina Direta - (3 Faces),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
64,5240,Restauração em Resina Direta - (Classe IV),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
65,5250,Restauração em Resina Direta - (Classe V),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
66,5260,Restauração temporária (IRM ou similar),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
67,5270,Tratamento Expectante com H. Cálcio,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
68,4000,Apicectomia em Incisivos com enxerto leofilizado,40624,4000,Apicectomia em Incisivos com enxerto leofilizado,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
69,4010,Apicectomia em Incisivos com obturação retrógrada,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
70,4020,Apicectomia em Incisivos curetagem apical,40626,4020,Apicectomia em Incisivos curetagem apical,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
