easy_nroproctab,easy_codconv,easy_descricao,brana_id_candidato,brana_codigo_candidato,brana_nome_candidato,metodo_correspondencia,nivel_confianca,divergencias,ambiguidade,acao_futura_permitida,acao_futura_bloqueada,justificativa
264,,Disjuntor Hirax RC,40819,264,Disjuntor Hirax RC,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
265,,Disjuntor MC Namara - Resina,40820,265,Disjuntor MC Namara - Resina,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
266,,Disjuntor MC Namara com Hirax,40821,266,Disjuntor MC Namara com Hirax,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
267,,Disjuntor Omar Gabriel,40822,267,Disjuntor Omar Gabriel,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
268,,Distabilizador Pendex com Pêndulo,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
269,,Djuntor palatino,40824,269,Djuntor palatino,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
270,,Documentação ortodôntica,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
271,,Frankel - Classe I,40826,271,Frankel - Classe I,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
272,,Frankel - Classe II,40827,272,Frankel - Classe II,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
273,,Frankel - Classe III,40828,273,Frankel - Classe III,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
274,,Frankel - Mordida Aberta,40829,274,Frankel - Mordida Aberta,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
275,,Grade palatina fixa,40830,275,Grade palatina fixa,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
276,,Grade palatina móvel,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
277,,Klammt - Classe I,40832,277,Klammt - Classe I,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
278,,Klammt - Classe II,40833,278,Klammt - Classe II,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
279,,Klammt - Classe III,40834,279,Klammt - Classe III,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
280,,Lip Bumper,40835,280,Lip Bumper,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
281,,Mantenedor de espaço,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
282,,Manutenção ortodôntico - (Mensal),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
283,,Mentoneira,40838,283,Mentoneira,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
284,,Ortopedia funcional dos maxilares,40839,284,Ortopedia funcional dos maxilares,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
285,,Palatina ou arco lingual,40840,285,Palatina ou arco lingual,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
286,,Placa 7/7,40841,286,Placa 7/7,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
287,,Placa acoplada ao uso de arco extra bucal,40842,287,Placa acoplada ao uso de arco extra bucal,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
288,,Placa ativa com molas,40843,288,Placa ativa com molas,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
289,,Placa com arco alça dupla para expanção Y,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
290,,Placa com arco de contenção contínua,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
291,,Placa com arco de contenção de Baag,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
292,,Placa com arco de controle dos caninos,40847,292,Placa com arco de controle dos caninos,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
293,,Placa com arco seccionado para uso elasticos,40848,293,Placa com arco seccionado para uso elasticos,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
294,,Placa com plano de mordida inclinado,40849,294,Placa com plano de mordida inclinado,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
295,,Placa com plano de mordida posterior,40850,295,Placa com plano de mordida posterior,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
296,,Placa com plano reto anterior,40851,296,Placa com plano reto anterior,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
297,,Placa de Apnéia,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
298,,Placa de ativação mandibular,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
299,,Placa de Eschler,40854,299,Placa de Eschler,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
300,,Placa de expansão para mordida cruzada,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
301,,Placa de Hawley,40856,301,Placa de Hawley,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
302,,Placa de Hawley invertido,40857,302,Placa de Hawley invertido,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
303,,Placa de Mills,40858,303,Placa de Mills,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
304,,Placa de ocupação lingual,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
305,,Placa de Roberts,40860,305,Placa de Roberts,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
306,,Placa dupla de avanço - Piamant,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
307,,Placa interceptora de hábito,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
308,,Placa labial ativa,40863,308,Placa labial ativa,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
309,,Placa mantenedora de espaço.,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
310,,Placa recuperadora de espaço,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
311,,Planas Compostas,40866,311,Planas Compostas,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
312,,Planas Simples,40867,312,Planas Simples,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
313,,Quadri-hélice,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
314,,Spling Retainer 3/3 4/4,40869,314,Spling Retainer 3/3 4/4,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
315,,Twin Black,40870,315,Twin Black,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
316,,"Vilma Simões - SN1, SN2, SN3, SN4, SN5",,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
317,,"Vilma Simões - SN6, SN7",,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
318,8315,Placa para Ortose,40873,8315,Placa para Ortose,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
319,9000,Micro-agulhamento (Derma Roller),40874,9000,Micro-agulhamento (Derma Roller),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
320,8292,Protetor bucal Playsafe Personalizado,40875,8292,Protetor bucal Playsafe Personalizado,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
321,7050,Levanto de seio maxilar,40876,7050,Levanto de seio maxilar,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
322,9010,Botox,40877,9010,Botox,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
323,,Alinhadores Estéticos,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
324,9020,Preenchimento,40879,9020,Preenchimento,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
325,2081,Consulta de Reavaliação Clínica,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
326,7060,Implante Zigomático,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
327,9030,Lipo de papada,40882,9030,Lipo de papada,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
328,8171,Coroa Provisória Imediata sob implante,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
329,9040,Fios de sustentação,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
330,9050,Bichectomia,40885,9050,Bichectomia,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
331,2011,Cimentação adesiva,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
332,7023,Implante Cone Morse + Enxerto,40887,7023,Implante Cone Morse + Enxerto,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
333,8482,E-MAX - Jaqueta pura em dissilicato,40888,8482,E-MAX - Jaqueta pura em dissilicato,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
334,2111,Foto extra-oral,40889,2111,Foto extra-oral,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
335,8261,Núcleo Metálico fundido bi-partido,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
336,,Remoção de aparelho ortodontico fixo.,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
337,7070,Regeneração óssea guiada - ROG,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
