acao_futura_bloqueada,campos_atuais,campos_preservados,campos_propostos,candidatos_brana_por_codigo,candidatos_brana_por_nome,candidatos_easy_dental,candidatos_por_similaridade,codconv,codconv_easy,codigo,codigo_brana_atual,divergencias,especialidade,id,id_brana,justificativa,metodo_match,motivo_bloqueio,nivel_confianca,nome,nome_brana_atual,nome_easy,nroproctab,nroproctab_easy,posicao_relativa,preco,simbolo,status,tipo
apply,"{'codigo': 5040, 'especialidade': '01', 'nome': 'Clareamento - (Laser)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 31}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Clareamento - (Laser)'},,,,,,5040,,5040,['codigo_nro'],,,40599,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Clareamento - (Laser),Clareamento - (Laser),,43,,,,revisar,medio
apply,"{'codigo': 5050, 'especialidade': '01', 'nome': 'Clareamento interno - (dentes desvitalizados)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 31}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Clareamento interno - (dentes desvitalizados)'},,,,,,5050,,5050,['codigo_nro'],,,40600,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Clareamento interno - (dentes desvitalizados),Clareamento interno - (dentes desvitalizados),,44,,,,revisar,medio
apply,"{'codigo': 5070, 'especialidade': '01', 'nome': 'Faceta em resina direta - (Dentes anteriores)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 39}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Faceta em resina direta - (Dentes anteriores)'},,,,,,5070,,5070,['codigo_nro'],,,40602,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Faceta em resina direta - (Dentes anteriores),Faceta em resina direta - (Dentes anteriores),,46,,,,revisar,medio
apply,"{'codigo': 5150, 'especialidade': '04', 'nome': 'Polimento e Acabamento', 'preco': 0.0, 'simbolo_grafico_legacy_id': 59}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Polimento e Acabamento'},,,,,,5150,,5150,['codigo_nro'],,,40611,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Polimento e Acabamento,Polimento e Acabamento,,55,,,,revisar,medio
apply,"{'codigo': 4000, 'especialidade': '06', 'nome': 'Apicectomia em Incisivos com enxerto leofilizado', 'preco': 0.0, 'simbolo_grafico_legacy_id': 15}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Apicectomia em Incisivos com enxerto leofilizado'},,,,,,4000,,4000,['codigo_nro'],,,40624,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Apicectomia em Incisivos com enxerto leofilizado,Apicectomia em Incisivos com enxerto leofilizado,,68,,,,revisar,medio
apply,"{'codigo': 4020, 'especialidade': '06', 'nome': 'Apicectomia em Incisivos curetagem apical', 'preco': 0.0, 'simbolo_grafico_legacy_id': 15}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Apicectomia em Incisivos curetagem apical'},,,,,,4020,,4020,['codigo_nro'],,,40626,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Apicectomia em Incisivos curetagem apical,Apicectomia em Incisivos curetagem apical,,70,,,,revisar,medio
apply,"{'codigo': 4030, 'especialidade': '06', 'nome': 'Apicectomia em Molares com enxerto leofilizado', 'preco': 0.0, 'simbolo_grafico_legacy_id': 15}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Apicectomia em Molares com enxerto leofilizado'},,,,,,4030,,4030,['codigo_nro'],,,40627,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Apicectomia em Molares com enxerto leofilizado,Apicectomia em Molares com enxerto leofilizado,,71,,,,revisar,medio
apply,"{'codigo': 4050, 'especialidade': '06', 'nome': 'Apicectomia em Molares curetagem apical', 'preco': 0.0, 'simbolo_grafico_legacy_id': 15}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Apicectomia em Molares curetagem apical'},,,,,,4050,,4050,['codigo_nro'],,,40629,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Apicectomia em Molares curetagem apical,Apicectomia em Molares curetagem apical,,73,,,,revisar,medio
apply,"{'codigo': 4090, 'especialidade': None, 'nome': 'Clareamento Interno', 'preco': 0.0, 'simbolo_grafico_legacy_id': 31}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Clareamento Interno'},,,,,,4090,,4090,['codigo_nro'],,,40633,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Clareamento Interno,Clareamento Interno,,77,,,,revisar,medio
apply,"{'codigo': 4120, 'especialidade': '05', 'nome': 'Pulpotomia', 'preco': 0.0, 'simbolo_grafico_legacy_id': 48}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Pulpotomia'},,,,,,4120,,4120,['codigo_nro'],,,40636,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Pulpotomia,Pulpotomia,,80,,,,revisar,medio
