id_brana,codigo_brana,nome_brana,nroproctab,codconv,descricao_easy,nome_normalizado,especialidade_easy,especialidade_brana,simbolo_easy,simbolo_brana,preco_easy,preco_brana,forma_cobranca_easy,forma_cobranca_brana,status_easy,status_brana,observacoes,risco,classificacao_anterior,classificacao_final,acao_futura_permitida,acao_futura_bloqueada
40665,2130,Radiografia Oclusal,109,2130,Radiografia Oclusal,radiografia oclusal,11,11,35,35,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40666,2140,Radiografia Periapical,110,2140,Radiografia Periapical,radiografia periapical,11,11,11,11,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40667,7040,Enxerto Osseo Particulado + Membrana colageno.,111,7040,Enxerto Osseo Particulado + Membrana colageno.,enxerto osseo particulado + membrana colageno.,04,04,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40669,7010,Implante (RTG),113,7010,Implante (RTG),implante (rtg),13,13,9,9,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40674,3000,Abertura de implante - (Giro de retalho),118,3000,Abertura de implante - (Giro de retalho),abertura de implante - (giro de retalho),04,04,,,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40675,3010,Abertura de implante - (Osteotomia),119,3010,Abertura de implante - (Osteotomia),abertura de implante - (osteotomia),06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40676,3020,Abertura de implante - (Plastia),120,3020,Abertura de implante - (Plastia),abertura de implante - (plastia),06,06,17,17,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40677,3030,Abertura de implante mand. - (Enxerto Livre),121,3030,Abertura de implante mand. - (Enxerto Livre),abertura de implante mand. - (enxerto livre),04,04,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40678,3040,Abertura de implante mand. - (Osteotomia e Livre),122,3040,Abertura de implante mand. - (Osteotomia e Livre),abertura de implante mand. - (osteotomia e livre),06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40682,3080,Bridectomia,126,3080,Bridectomia,bridectomia,04,04,26,26,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40686,3120,Cirurgia para Rizectomia,130,3120,Cirurgia para Rizectomia,cirurgia para rizectomia,06,06,47,47,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40688,3140,Cirurgia Periodontal a retalho - (1 elemento),132,3140,Cirurgia Periodontal a retalho - (1 elemento),cirurgia periodontal a retalho - (1 elemento),04,04,17,17,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
