linha_csv,codigo_csv,nome_csv,especialidade_csv,preco_csv,nroproctab_sql,codconv_sql,descricao_sql,especialidade_sql,preco_sql,codigo_brana,nome_brana,especialidade_brana,preco_brana,codigo_significado,classe_csv_sql,classe_csv_brana,nivel_confian?a_anterior,nivel_confian?a_final,justificativa
40,,Aparelho Ortodôntico Fixo - (Arcada Superior),Ortodontia,"0,00",233,,Aparelho Ortodôntico Fixo - (Arcada Superior),7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
41,,Aparelho Ortopedico,Ortodontia,"0,00",234,,Aparelho Ortopedico,7,0.0,234,Aparelho Ortopedico,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
42,,Blinler - B,Ortodontia,"0,00",253,,Blinler - B,7,0.0,253,Blinler - B,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
43,,"Aparelhos auxiliares (extra-oral, ""Bumper"", etc)",Ortodontia,"0,00",236,,"Aparelhos auxiliares (extra-oral, ""Bumper"", etc)",7,0.0,236,"Aparelhos auxiliares (extra-oral, ""Bumper"", etc)",07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
44,,Blinler - A,Ortodontia,"0,00",252,,Blinler - A,7,0.0,252,Blinler - A,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
45,,Ativador de Haulp,Ortodontia,"0,00",238,,Ativador de Haulp,7,0.0,238,Ativador de Haulp,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
46,,Ativador de Rossi,Ortodontia,"0,00",239,,Ativador de Rossi,7,0.0,239,Ativador de Rossi,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
47,,Ativador de Zurick - Suíça,Ortodontia,"0,00",240,,Ativador de Zurick - Suíça,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
48,,Bandagem (Tubo duplo),Ortodontia,"0,00",242,,Bandagem (Tubo duplo),7,0.0,242,Bandagem (Tubo duplo),07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
49,,Bandagem (Tubo triplo),Ortodontia,"0,00",244,,Bandagem (Tubo triplo),7,0.0,244,Bandagem (Tubo triplo),07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
50,,Barra Transpalatina,Ortodontia,"0,00",245,,Barra Transpalatina,7,0.0,245,Barra Transpalatina,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
51,,Bi-hélice,Ortodontia,"0,00",246,,Bi-hélice,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
52,,Bio-ajustador - Tecnica MD3,Ortodontia,"0,00",247,,Bio-ajustador - Tecnica MD3,7,0.0,247,Bio-ajustador - Tecnica MD3,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
53,,Bionator - Super,Ortodontia,"0,00",248,,Bionator - Super,7,0.0,248,Bionator - Super,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
54,,Bionator de Balters - Classe I,Ortodontia,"0,00",249,,Bionator de Balters - Classe I,7,0.0,249,Bionator de Balters - Classe I,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
55,,Bionator de Balters - Classe II,Ortodontia,"0,00",250,,Bionator de Balters - Classe II,7,0.0,250,Bionator de Balters - Classe II,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
56,,Bandagem (Tubo simples),Ortodontia,"0,00",243,,Bandagem (Tubo simples),7,0.0,243,Bandagem (Tubo simples),07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
57,,Aparelho removivel,Ortodontia,"150,00",235,,Aparelho removivel,7,150.0,235,Aparelho removivel,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
58,,Planas Simples,Ortodontia,"0,00",312,,Planas Simples,7,0.0,312,Planas Simples,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
59,,Placa de Hawley invertido,Ortodontia,"0,00",302,,Placa de Hawley invertido,7,0.0,302,Placa de Hawley invertido,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
